RTX 5060;26000
RTX 5060 TI 8GB;32500
RTX 5060 TI 16GB;40500
RTX 5070;52500
RTX 5070 TI;75000
RTX 5080;100000
iPad 11 128;25500
iPad 11 256;33000
iPad Air 11 M3 128;38000
iPad Air 11 M3 256;48000
iPad Air 13 M3 128;54000
MacBook Air 13 M4 16/256;63000
MacBook Air 13 M4 16/512;75000
MacBook Air 15 M4 16/256;75000
MacBook Air 15 M4 16/512;91000
MacBook Air 13 M2 16/256;50000
MacBook Air 13 M1;42000
Яндекс станция Лайт с часами;2700
Яндекс станция мини 2 с часами;4500
Яндекс станция мини 3 с часами;4700
Яндекс станция миди;8500
Яндекс станция 3;15500
Яндекс станция Макс;20000
Яндекс станция Макс Дуо;24500
Ноутбук Honor Magicbook X14 16/512;31000
Ноутбук Honor Magicbook X14 8/512;26500
Ноутбук Honor Magicbook X16 16/512;31000
Ноутбук Huawei Matebook D14 16/512;5000
Ноутбук Huawei Matebook D16;35000
Ноутбук Huawei Matebook D14 1tb;40000
Ноутбук Huawei Matebook D16 1tb;40000
Ноутбук Huawei Matebook D14 i9;52000
Ноутбук Huawei Matebook D16 i9;52000
Samsung Galaxy z Fold 7 256;100000
Samsung Galaxy z Fold 7 512;108000
Samsung Galaxy S25 Ultra 256;61500
Samsung Galaxy S25 ultra 512;71000
Samsung Galaxy S25 256;46500
Samsung Galaxy S25 128;40000
Samsung Galaxy S25 plus 256;50000
Samsung Galaxy Z flip 7 12/256;55000
Samsung Galaxy Z flip 7 12/512;58000
Samsung Galaxy S25 FE 256;35000
Samsung Galaxy S25 FE 512;39500
IPhone eSIM 17 Pro 256;80000
IPhone eSIM 17 Pro 512;91000
IPhone eSIM 17 Pro 1TB;105000
IPhone eSIM 17 Pro Max 256;88000
IPhone eSIM 17 Pro Max 512;99000
IPhone eSIM 17 Pro Max 1TB;112000
IPhone eSIM 17 Pro Max 2TB;132000
IPhone eSIM 17 256;57000
IPhone eSIM 17 512;67000
IPhone eSIM 17 AIR 256;65000
IPhone eSIM 17 AIR 512;74500
IPhone Sim-eSIM 17 pro 256;88000
IPhone Sim-eSIM 17 pro 512;101000
IPhone Sim-eSIM 17 pro 1tb;117000
IPhone Sim-eSIM 17 pro max 256;97500
IPhone Sim-eSIM 17 pro max 512;112000
IPhone Sim-eSIM 17 pro max 1tb;125000
IPhone Sim-eSIM 17 pro max 2TB;147000
IPhone Sim-eSIM 17 256;60000
IPhone Sim-eSIM 17 512;76000
IPhone Sim-eSIM 16 128;46500
IPhone Sim-eSIM 16 256;52000
IPhone Sim-eSIM 16e 128;35500
IPhone Sim-eSIM 16e 256;45500
IPhone Sim-eSIM 16 pro 128 dual nano;63000
IPhone Sim-eSIM 16 pro max 256;80000
IPhone Sim-eSIM 16 pro max 512;97000
IPhone Sim-eSIM 16 pro max 1tb;106000
IPhone Sim-eSIM 15 128;39000
IPhone Sim-eSIM 15 256;47000
Apple Watch SE 2 40mm;14000
Apple Watch SE 2 44mm;14500
Apple Watch SE 3 40mm;17500
Apple Watch SE 3 44mm;19000
Apple Watch 11 42mm;24000
Apple Watch 11 46mm;25500
Huawei Watch GT 5;9000
Huawei Watch GT 5 pro;12500
Huawei Watch GT 6;11000
Huawei Watch GT 6 pro;14500
AirPods Max;33000
PlayStation 5 disk;38500
PlayStation 5 digital;36000
PlayStation 5 pro;56000
